imdb_title_id,adjusted_budget
tt0042952,7528070.995850622
tt0042702,6862250.165975103
tt0042744,21478091.28630705
tt0042755,6357515.020746888
tt0042771,7839503.319502074
tt0042786,4521138.215767634
tt0042825,17407992.987551864
tt0042829,20471466.842946056
tt0042832,15034663.900414936
tt0042848,11329693.15352697
tt0042876,2684761.4107883815
tt0042883,12059948.25726141
tt0042894,9375186.846473029
tt0042677,19523584.97925311
tt0042895,13046855.812821576
tt0042974,8086501.369294605
tt0042994,15432008.589211617
tt0042998,12618378.630705394
tt0043014,18814807.966804978
tt0043027,1331641.6597510371
tt0043044,15786397.095435683
tt0043081,15088359.128630703
tt0043116,22713081.535269707
tt0043117,10732280.04439834
tt0043120,10696089.460580911
tt0043150,12833159.543568464
tt0043546,1690744.607012448
tt0042960,10041007.676348547
tt0042664,11684081.659751037
tt0042783,1621595.8921161825
tt0042644,22004304.522821575
tt0041117,18836286.058091283
tt0041387,1610856.8464730289
tt0041931,10739045.643153526
tt0042179,7893198.547717841
tt0042192,15034663.900414936
tt0042200,40473154.134232365
tt0042208,13230504.232365144
tt0042229,1449771.161825726
tt0042646,24248765.06224066
tt0042250,5691694.190871369
tt0042256,32217136.929460578
tt0042282,8419411.784232365
tt0042285,20876704.730290454
tt0042247,11018260.829875518
tt0042352,17359184.025103733
tt0042367,4295618.25726141
tt0042376,13241243.278008297
tt0042383,4295618.25726141
tt0042395,14744709.668049792
tt0042464,17182473.02904564
tt0042509,14572884.937759334
tt0042622,118129.50207468879
tt0042530,4295618.25726141
tt0042542,14959490.580912862
tt0042600,1633569.9280082986
tt0042332,31143232.365145225
tt0043861,7386067.769230768
tt0043983,15836446.004615383
tt0044059,14224650.730769228
tt0043973,1990853.846153846
tt0044030,22849318.266115382
tt0043968,15210123.384615382
tt0043899,14931403.846153844
tt0043949,75881394.34615384
tt0043935,9954269.23076923
tt0043924,22848073.982461534
tt0043914,9954269.23076923
tt0043852,7734467.192307691
tt0043961,16325001.538461536
tt0044072,1025289.7307692306
tt0043591,497713.4615384615
tt0044081,17917684.615384612
tt0044209,3742805.2307692305
tt0043849,7167073.846153845
tt0044207,9317195.999999998
tt0044205,21929255.115384612
tt0044202,4479421.153846153
tt0044186,10033903.384615384
tt0044166,6151738.384615384
tt0044138,13935976.923076922
tt0044135,7465701.923076922
tt0044121,15926830.769230768
tt0044117,16762989.384615382
tt0044105,9615824.076923076
tt0044091,2737424.038461538
tt0044082,11765946.23076923
tt0044079,11945123.076923076
tt0043795,18166541.346153844
tt0043455,21600764.23076923
